1, 2, 12, 1, 200, 1000, 1000
1, 2, 12, 0, 200, 1000, 1000
3, 5, 2, 7, 1000, 200, 1000
2, 5, 2, 6, 800, 200, 1000
3, 5, 2, 8, 1000, 200, 1000
3, 5, 2, 7, 1000, 200, 1000
10, 1, 50, 9, 100, 1000, 3000
3, 5, 2, 1, 1000, 200, 1000
3, 5, 2, 8, 1000, 200, 1000
1, 2, 12, 0, 200, 1000, 2000
1, 2, 12, 1, 200, 1000, 2000
2, 1, 2, 6, 800, 800, 2000
2, 2, 2, 6, 800, 800, 4000
1, 2, 12, 0, 200, 1000, 2000
1, 2, 12, 1, 200, 1000, 2000
3, 5, 2, 7, 1000, 200, 1000
3, 5, 2, 8, 1000, 200, 1000
1, 2, 12, 1, 200, 1000, 2000
2, 3, 2, 4, 800, 600, 2000
2, 4, 2, 3, 800, 600, 4000
3, 5, 2, 8, 1000, 200, 1000
3, 5, 2, 7, 1000, 200, 1000
3, 5, 2, 8, 1000, 200, 1000
1, 3, 12, 2, 200, 1000, 2000
1, 3, 12, 0, 200, 1000, 4000


