3, 5, 2, 8, 1000, 200, 1000
3, 5, 2, 7, 1000, 200, 1000
3, 5, 2, 7, 1000, 200, 1000
3, 5, 2, 8, 1000, 200, 0
2, 6, 2, 8, 1000, 200, 1000
2, 6, 2, 7, 1000, 200, 1000
3, 5, 2, 8, 1000, 200, 1000
3, 5, 2, 7, 1000, 200, 1000
3, 5, 2, 7, 1000, 200, 1000
3, 5, 2, 8, 1000, 200, 0
2, 6, 2, 8, 1000, 200, 1000
2, 6, 2, 7, 1000, 200, 1000
10, 1, 50, 9, 100, 1000, 3000
1, 2, 12, 1, 200, 1000, 1000
1, 2, 12, 0, 200, 1000, 1000
3, 5, 2, 7, 1000, 200, 1000
3, 5, 2, 8, 1000, 200, 1000
2, 6, 2, 8, 1000, 200, 1000
2, 6, 2, 7, 1000, 200, 1000
